"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1197978","0","WISHING WELL MUSIC FOR HEALTH","10 HOLLYCROFT, EAST CHILTINGTON, LEWES, EAST SUSSEX","BN7 3AZ","Lewes","07814162625","jo@wishingwellmusic.org.uk","WWW.WISHINGWELLMUSIC.ORG.UK","30/09/2024","84175","93981","Registered","CIO","Provides Services","Disability, Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups","Wishing Well brings live music making right to the heart of healthcare. 
We create long term partnerships with healthcare settings and services so that music and culture can flourish in clinical spaces. 
We empower people to express themselves, connect with others and feel more joyful through sharing music together. 
We offer training programmes for music facilitators and healthcare staff","1. TO PROMOTE AND PROTECT THE HEALTH FOR THE PUBLIC BENEFIT, THROUGH THE USE OF MUSIC AND OTHER ARTS WITHIN THE HEALTH AND SOCIAL CARE SECTORS AND IN THE COMMUNITY, INCLUDING ADVOCATING THE ROLE OF MUSIC AND OTHER ARTS IN RELATIONSHIP TO HEALTH AND WELLBEING, PROVIDING TRAINING AND PROMOTING GOOD PRACTICE AMONGST ARTISTS AND PEOPLE WHO WORK IN THE HEALTH AND SOCIAL CARE SECTORS.

2. FOR THE PUBLIC BENEFIT, THE RELIEF OF THOSE IN NEED BY REASON OF PHYSICAL AND/OR MENTAL ILL HEALTH WITHIN THE HEALTH AND SOCIAL CARE SECTORS/SETTINGS AND COMMUNITY, PRIMARILY THROUGH DELIVERING AND PROVIDING MUSIC AND ART RELATED ACTIVITIES AND EXPERIENCES WITH THE OVERALL OBJECTIVE OF IMPROVING QUALITY OF LIFE."
"1198587","0","PARK HILL EVANGELICAL CHURCH","PARK HILL EVANGELICAL CHURCH, PARK HILL, BRIGHTON","BN2 0BT","Brighton Kemptown and Peacehaven","01273682788","parkhillchurchbrighton@gmail.com","parkhillchurchbrighton.co.uk","30/09/2024","13540","0","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Religious Activities, Other Charitable Purposes","The General Public/mankind","To advance the Christian faith in accordance with our statements of belief (in Brighton, East Sussex and other parts of the UK or the world) in such ways as the Trustees may from time to time may think fit.

To relieve persons who are in various types of need as the Trustees may from time to time think fit, consistent with our statement of beliefs.","THE OBJECTS OF THE CIO ARE:

(1) TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS APPEARING IN THE SCHEDULE HERETO ATTACHED IN BRIGHTON, EAST SUSSEX AND SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AND IN SUCH WAYS AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT; 

(2) TO RELIEVE PERSONS WHO ARE IN CONDITIONS OF NEED, HARDSHIP, OR DISTRESS, OR WHO ARE AGED, OR SICK, IN SUCH WAYS AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT, CONSISTENT WITH THE STATEMENT OF BELIEFS."
"1199209","0","PINT (PEOPLE IN NEED TODAY)","Capital Office, 124-128 City Road, LONDON","EC1V 2NX","Islington South and Finsbury","07956479227","PINTGIVING@GMAIL.COM","www.pintgiving.org/","31/03/2024","654","1137","Registered","CIO","Provides Services","Disability","The General Public/mankind","Helping homeless people in need.","FOR THE PUBLIC BENEFIT, THE RELIEF AND ASSISTANCE OF INDIVIDUALS WHO ARE HOMELESS, ANYWHERE IN THE UK, WHO ARE IN NEED BY REASON OF THEIR POVERTY OR FINANCIAL HARDSHIP BY THE PROVISION OF, OR ASSISTANCE IN THE PROVISION OF, ACCOMMODATION, SERVICES AND/OR GOODS."
"1199266","0","SALTDEAN SWIM & SURF CLUB","30 CHICHESTER DRIVE WEST, SALTDEAN, BRIGHTON","BN2 8SH","Brighton Kemptown and Peacehaven","07760168654","info@saltdeanssc.org","www.saltdeanssc.org","31/03/2024","28689","22738","Registered","CIO","Makes Grants To Organisations, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Amateur Sport","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Surf lifesaving activity","THE OBJECTS OF THE CLUB ARE TO ADVANCE THE EDUCATION OF THE PUBLIC THROUGH THE PROVISION OF EDUCATION AND TRAINING IN LIFESAVING, LIFE
SUPPORT, WATER SAFETY, RESUSCITATION AND FIRST AID, THROUGH THE PARTICIPATION IN THE AWARD SCHEMES AND COMPETITIONS OF THE SURF
LIFESAVING CLUB OF GREAT BRITAIN (HEREIN AFTER REFERRED TO AS SLSGB) AND SUCH OTHER ACTIVITIES AS ARE APPROPRIATE AND THEREBY CONTRIBUTING TO THE PRESERVATION OF LIVES."
"1199744","0","SEWING FAMILY","FLAT 1, 19 ASHBURNHAM ROAD, LONDON","SW10 0PG","Chelsea and Fulham","07749090847","caroline@thefashionschool-uk.com","https://www.sewingfamily.org/","31/03/2024","23681","24350","Registered","CIO","Provides Services","Education/training, Disability, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Defined Groups","We work with local councils, organisations and industry to provide safe sewing workrooms. We support the strong sewing cultural heritage within different ethnic communities, refugee families as they pass their sewing skills onto their children, continuing their cultural tradition and practising sustainable garment making methods. We promote family bonding through adult and child sewing workshops.","FOR THE PUBLIC BENEFIT TO ADVANCE EDUCATION OF REFUGEES, ASYLUM SEEKERS, LOOKED AFTER CHILDREN AND CARE LEAVERS (FROM SOCIALLY AND ECONOMICALLY DISADVANTAGED BACKGROUNDS) THROUGH THE PROVISION OF SEWING WORKROOMS, MACHINERY, FACILITIES, MENTORING AND TRAINING WITH THE AIM OF IMPROVING THEIR EMPLOYABILITY, STANDARD OF LIVING AND LIFE CHANCES."
"1200457","0","BRIGHTON BEACHSIDE ROTARY CHARITABLE FUND","18b Brighton Road, LANCING","BN15 8RH","East Worthing and Shoreham","07796445074","info@brightonbeachside.co.uk","www.BrightonBeachside.co.uk","30/06/2024","21712","21367","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations","General Charitable Purposes","The General Public/mankind","The trust was set up for the purpose of the relief and education of poor and distressed persons or such other charitable purposes as the Club shall define in duly constituted meetings.","UPON TRUST TO APPLY BOTH THE CAPITAL AND INCOME THEREOF TO
OR FOR THE RELIEF OF THE POOR AND NEEDY OR SUCH OTHER CHARITABLE PURPOSES AS THE CLUB SHALL IN DULY CONSTITUTED MEETING FROM TIME TO TIME DIRECT."
"1201675","0","THE LA DI DA SOCIETY","61 Eastbrook Road, Portslade, BRIGHTON","BN41 1LN","Hove and Portslade","07848827806","becca@theladidasociety.co.uk","www.theladidasociety.co.uk","31/12/2023","67127","51001","Registered","CIO","Provides Services","Disability","Elderly/old People","The La Di Da Society runs daytime social and entertainment clubs for people over the age of 60 years old with the aim of reducing social isolation and loneliness, improving well being and helping people to feel part of their local community. We also run events out in the community as well as dance classes suitable for all.","THE OBJECTS OF THE CIO ARE

TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH OLDER PEOPLE PRINCIPALLY, BUT NOT EXCLUSIVELY, IN THE LOCAL GOVERNMENT AREA OF BRIGHTON AND HOVE AND ITS ENVIRONS BY PREVENTING SUCH PEOPLE FROM BECOMING SOCIALLY EXCLUDED AND BY RELIEVING THE NEEDS OF THOSE WHO ARE SOCIALLY EXCLUDED FROM SOCIETY, OR PARTS OF SOCIETY, ON THE GROUNDS OF THEIR AGE AND ASSIST THEM TO INTEGRATE INTO SOCIETY, IN PARTICULAR BY:

RUNNING A SOCIAL ENTERTAINMENT CLUB FOR OLDER PEOPLE
PROVIDING SOCIAL AND RECREATIONAL EVENTS INVOLVING THE LOCAL COMMUNITY 
PROVIDING WORKSHOPS, FORUMS AND GENERAL SUPPORT 
INCREASING, OR COORDINATING, OPPORTUNITIES FOR OLDER PEOPLE TO CONNECT WITH LOCAL SERVICE PROVIDERS 
BY OTHER SUCH MEANS (BEING CHARITABLE IN LAW) AS THE TRUSTEES MAY FROM TIME TO TIME CONSIDER APPROPRIATE 

FOR THE PURPOSE OF THIS CLAUSE ?SOCIALLY EXCLUDED? MEANS ?OLDER PEOPLE ABOVE THE AGE OF 60 YEARS OLD? BEING EXCLUDED FROM SOCIETY, OR PARTS OF SOCIETY, AS A RESULT OF ONE OR MORE OF THE FOLLOWING FACTORS; OLD AGE; ILL HEALTH (PHYSICAL OR MENTAL); FINANCIAL HARDSHIP; DEMENTIA; DISABILITY; CARING RESPONSIBILITIES; RACE; ETHNIC ORIGIN; SEXUAL ORIENTATION"
"1202190","0","LEWES LOW COST COUNSELLING SERVICE","66, High Street, Lewes","","","07445509825","lowcostlewes@hushmail.com","www.leweslowcostcounselling.com","31/07/2024","14791","11665","Registered","CIO","Provides Services","The Advancement Of Health Or Saving Of Lives, Disability","The General Public/mankind","We are a not for profit service available to all members of the community in the Lewes area on a low income.  We provide affordable, good quality counselling.  We believe that everyone who would like to have counselling should be able to access it.","TO PROTECT AND PROMOTE THE MENTAL AND EMOTIONAL HEALTH OF LOW INCOME PERSONS BY PROVIDING, DEVELOPING AND MAINTAINING AN AFFORDABLE AND ACCESSIBLE COUNSELLING AND PSYCHOTHERAPY SERVICE."
"1202235","0","LLJF LTD","3rd Floor, Pelham House, 25 Pelham Square, BRIGHTON","BN1 4ET","Brighton Pavilion","01273651100","Foundation@LoveLocalJobs.com","https://www.lovelocaljobsfoundation.com/","31/03/2024","237418","202254","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, Other Charitable Purposes","Children/young People","","FOR THE PUBLIC BENEFIT TO ACT AS A RESOURCE FOR YOUNG PEOPLE UP TO THE AGE OF 25 IN THE UNITED KINGDOM BY PROVIDING ADVICE AND ASSISTANCE AND WORKING WITH A RANGE OF PRIVATE, PUBLIC AND VOLUNTARY/CHARITY SECTOR ORGANISATIONS AND EMPLOYERS AS A MEANS OF:
I) PROVIDING SUPPORT AND ACTIVITIES WHICH DEVELOP THE SKILLS, CAPACITIES AND CAPABILITIES OF SUCH YOUNG PEOPLE TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS INDEPENDENT, MATURE AND RESPONSIBLE INDIVIDUALS
II) ADVANCING EDUCATION
III) RELIEVING UNEMPLOYMENT"
"1202472","0","TAKE SHELTER","DOWNS JUNIOR SCHOOL, RUGBY ROAD, BRIGHTON, East Sussex","BN1 6ED","Brighton Pavilion","01273558422","TakeShelter@downsjun.brighton-hove.sch.uk","www.takeshelter.org.uk","31/03/2024","40836","40490","Registered","CIO","Provides Services, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science","Children/young People, Elderly/old People, The General Public/mankind","","TO PRESERVE, RENOVATE AND MAINTAIN FOR THE BENEFIT OF THE PUBLIC, THE FORMER WW2 AIR RAID SHELTER AT DOWNS JUNIOR SCHOOL, BRIGHTON, INCLUDING ANY HISTORIC ARTEFACTS DONATED OR PURCHASED.

FOR THE PUBLIC BENEFIT, TO ADVANCE EDUCATION BY THE PROVIDING A MUSEUM IN THE SHELTER AND IN SUCH OTHER WAYS AS THE TRUSTEES THINK APPROPRIATE."
"1202518","0","SOUTH EAST FIRE AND RESCUE","8 Lundy Close, CRAWLEY, West Sussex","RH11 9HF","Crawley","07720808708","info@southeastfireandrescue.com","www.southeastfireandrescue.com","",,,"Registered","CIO","Provides Services","The Advancement Of Health Or Saving Of Lives","The General Public/mankind","A peer based support group for military veterans and current/former emergency service personnel. Training regularly in to national fire service standards in all skills. 
The charity also provides Fire cover to a wide range of community events/festivals focusing on pubic safety, education and engagement across the South East and further afield if requested.","THE PRESERVATION OF LIFE AND SAVING OF LIVES BY PROVIDING EVENT ORGANISERS THE FIRST LINE OF PROTECTION AND ONSITE FIRE AND RESCUE COVER, HELPING TO REDUCE RISK OR SERIOUS DAMAGE OR INJURY AT PUBLIC EVENTS"
"1203289","0","SHURA TRUST","128 Percy Road, LEICESTER","LE2 8FN","Leicester West","07413691872","info@shuratrust.org","www.shuratrust.org","30/06/2024","0","0","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Religious Activities, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, The General Public/mankind","To advance the understanding of the true Muslim faith which stands for an inclusive and peaceful social cohesiveness in London and other areas in the UK for the benefit of the public through the holding of reading circles, lectures and prayers to enlighten others about the Islamic faith.","1. TO ADVANCE THE UNDERSTANDING OF THE MUSLIM FAITH IN LONDON AND OTHER AREAS IN THE UK FOR THE BENEFIT OF THE PUBLIC THROUGH THE HOLDING OF READING CIRCLES, LECTURES AND PRAYERS TO ENLIGHTEN OTHERS ABOUT THE ISLAMIC FAITH.

2. THE PROMOTION OF RELIGIOUS HARMONY FOR THE BENEFIT OF THE PUBLIC BY PROMOTING KNOWLEDGE AND MUTUAL UNDERSTANDING AND RESPECT OF THE BELIEFS AND PRACTICES OF DIFFERENT RELIGIOUS FAITHS.

3. TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH PEOPLE IN LONDON AND OTHER AREAS IN THE UK WHO ARE SOCIALLY EXCLUDED ON THE GROUNDS OF THEIR ETHNICITY AND MUSLIM FAITH TO RELIEVE THE NEEDS OF SUCH PEOPLE AND ASSIST THEM TO INTEGRATE INTO SOCIETY, IN PARTICULAR BY PROVIDING A LOCAL NETWORK GROUP THAT ENCOURAGES AND ENABLES MEMBERS OF THE MUSLIM COMMUNITY TO PARTICIPATE MORE EFFECTIVELY WITH THE WIDER COMMUNITY."
"1203321","0","FISHERSGATE FLYERS FOOTBALL CLUB","36 NORWAY STREET, PORTSLADE, BRIGHTON","BN41 1GN","Hove and Portslade","07984970238","ffyfc.secretary@gmail.com","https://www.fishersgateflyers.co.uk/","31/05/2024","24736","38067","Registered","CIO","Provides Services","Amateur Sport","Children/young People","To provide facilities, promote the game of Association Football, to arrange matches and social activities for its members and the community.","TO PROVIDE FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION, AND IN PARTICULAR FACILITIES FOR PARTICIPATION IN THE SPORT OF FOOTBALL, IN THE INTERESTS OF SOCIAL WELFARE FOR YOUNG PEOPLE UNDER THE AGE OF 18 LIVING IN BRIGHTON & HOVE AND THE SURROUNDING AREA WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH OR AGE WITH A VIEW TO IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS."
"1203417","0","SOUTHWARK, ARUNDEL & BRIGHTON BRETHREN CIO","3 BIRCH WAY, WARLINGHAM","CR6 9DA","East Surrey","07939654522","paulhough@rcaos.org.uk","","11/02/2025","130180","198377","Registered","CIO","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance","General Charitable Purposes, Disability, Religious Activities","Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","The prevention or relief of poverty, religious activities.","FOR THE PUBLIC BENEFIT, THE RELIEF OF POVERTY AND THE RELIEF OF NEED BY REASON OF SICKNESS, INFIRMITY CONVALESCENCE OR DISABILITY, AMONG ROMAN CATHOLIC PRIESTS INCARDINATED INTO ANY DIOCESE OF THE ROMAN CATHOLIC CHURCH, IN PARTICULAR THE SOUTHWARK, ARUNDEL AND BRIGHTON DIOCESES IN SUCH WAYS, MANNER, SHARES AND PROPORTIONS AS THE TRUSTEES SHALL FROM TIME TO TIME THINK FIT."
"1203605","0","SUSSEX PRISONERS' FAMILIES","39-41 SURREY STREET, BRIGHTON, BRIGHTON","BN1 3PB","Brighton Pavilion","01273499843","info@sussexprisonersfamilies.org.uk","www.sussexprisonersfamilies.org.uk","31/07/2024","261781","266276","Registered","CIO","Provides Services, Provides Advocacy/advice/information","The Prevention Or Relief Of Poverty, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, Other Defined Groups","We support family members of people who are facing imprisonment, imprisoned or leaving prison by offering advice, advocacy, information and emotional support; signposting to other appropriate organisations when appropriate and providing training, information and resources to professionals who work with prisoners' families.","TO RELIEVE THE NEEDS OF DEPENDENT FAMILY MEMBERS OF PEOPLE WHO ARE FACING IMPRISONMENT, IMPRISONED OR LEAVING PRISON, PRIMARILY BUT NOT EXCLUSIVELY THROUGH:
A) HELPING THEM NAVIGATE THE CRIMINAL JUSTICE SYSTEM;
B) OFFERING ADVICE, ADVOCACY, INFORMATION AND EMOTIONAL SUPPORT;
C) SIGNPOSTING TO OTHER APPROPRIATE ORGANISATIONS WHEN APPROPRIATE;
D) PROVIDING INFORMATION AND RESOURCES TO PROFESSIONALS TO PROVIDE INSIGHT OF ISSUES FACED BY DEPENDENT FAMILY MEMBERS TO IMPROVE THE SUPPORT/SERVICES THEY PROVIDE."
"1203659","0","BEXHILL MARITIME","28 Wilton Road, BEXHILL-ON-SEA, East Sussex, East Sussex","TN40 1EZ","Bexhill and Battle","01424300210","info@bexhillmaritime.org","www.bexhillmaritime.org","30/11/2024","9945","5587","Registered","CIO","Provides Advocacy/advice/information","Education/training","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","For the public benefit, to advance the education of the people living in Bexhill-on-Sea and surrounding area about the effects of climate change on the maritime environment, and about the marine, coastal, physical and natural environment.","FOR THE PUBLIC BENEFIT, TO ADVANCE THE EDUCATION OF THE PEOPLE LIVING IN BEXHILL-ON-SEA AND SURROUNDING AREA ABOUT THE EFFECTS OF CLIMATE CHANGE ON THE MARITIME ENVIRONMENT, AND ABOUT THE MARINE, COASTAL, PHYSICAL AND NATURAL ENVIRONMENT. THIS WILL BE ACHIEVED BUT NOT EXCLUSIVELY BY 
(A) THE PROMOTION OF WAYS TO MITIGATE CLIMATE CHANGE ON THE MARINE, COASTAL, PHYSICAL AND NATURAL ENVIRONMENT AND 
(B) ADVANCING THE EDUCATION OF THE PUBLIC ABOUT ALL ASPECTS OF PROTECTION, IMPROVEMENT AND LEGACY OF THE MARINE, COASTAL AND PHYSICAL ENVIRONMENT."
"1204080","0","THE LONDON PHILHARMONIC TRUST","Camelford House, 87-90 Albert Embankment","SE1 7TP","Vauxhall and Camberwell Green","02078404200","lpt@lpo.org.uk","","31/08/2024","103593","11657","Registered","Trust","Makes Grants To Organisations","Education/training, Arts/culture/heritage/science","Other Charities Or Voluntary Bodies, The General Public/mankind","The general purpose of the charity is to support the objects of the London Philharmonic Orchestra (LPO).  These are to promote, maintain, improve and advance education, particularly musical education and to encourage the arts, including the arts of music, drama, mem, dance and singing.","A)THE ADVANCEMENT OF PUBLIC MUSICAL EDUCATION IN GENERAL AND (WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING) IN PARTICULAR) 

BY PROCURING SPONSORING OR ASSISTING THE PERFORMANCE OF MUSICAL WORKS OF THE HIGHEST QUALITY IN ANY PART OF THE WORLD BY THE LONDON PHILHARMONIC OR SECTION OR SECTIONS OF THE LONDON PHILHARMONIC. 

II) BY ENCOURAGING IMPROVEMENTS IN STANDARDS OF PERFORMANCE BY THE LONDON PHILHARMONIC. 

III) BY PROMOTING THE DEVELOPMENT OF MUSICAL APPRECIATION BY THE GENERAL PUBLIC BY COMMISSIONING COMPOSITIONS AND BY PROCURING SPONSORING OR ASSISTING THE PERFORMANCE BY THE LONDON PHILHARMONIC OF MUSICAL WORKS OF HIGH QUALITY OR OF HISTORIC OR OTHER INTEREST WHICH ARE NOT FREQUENTLY PREFORMED AND 

IV) BY THE PRESERVATION AND EXPANSION OF THE LIBRARY OF THE LONDON PHILHARMONIC 

B) TO SUPPORT THE CHARITY CALLED THE LONDON PHILHARMONIC ORCHESTRA LIMITED IN ALL OR ANY OF ITS OBJECTS AND ACTIVITIES INCLUDING (WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING) THE MAINTENANCE AND IMPROVEMENT OF ITS PREMISES THE SUPPLY OF ALL SUCH THINGS AS MAY BE REQUIRED FOR THAT PURPOSE OR FOR THE OBJECTS SET OUT ABOVE."
"1204183","0","THE COMMUNITY KITCHEN (BRIGHTON / SUSSEX)","Community Kitchen, Community Base, 113 Queens Road, Brighton","","","01273234000","communitykitchenbh@gmail.com","https://thecommunitykitchen.org.uk/","31/03/2025","37156","24098","Registered","CIO","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Our activities include: 
- cookery activities which build practical skills, healthy eating and budgeting knowledge alongside confidence and social connections
- community gardening groups where growing food connects people together and increases physical activity levels and fruit & veg intake
- support and advice for people struggling to afford a healthy diet","1. TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE SUBJECT OF FOOD.
2. TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY PREVENTING PEOPLE FROM BECOMING SOCIALLY EXCLUDED, RELIEVING THE NEEDS OF THOSE PEOPLE WHO ARE SOCIALLY EXCLUDED AND ASSISTING THEM TO INTEGRATE INTO SOCIETY.
FOR THE PURPOSE OF THIS CLAUSE ‘SOCIALLY EXCLUDED’ MEANS BEING EXCLUDED FROM SOCIETY, OR PART OF SOCIETY, AS A RESULT OF ONE OR MORE OF THE FOLLOWING FACTORS: UNEMPLOYMENT, FINANCIAL HARDSHIP, YOUTH OR OLD AGE, ILL HEALTH (PHYSICAL OR MENTAL), SUBSTANCE ABUSE OR DEPENDENCY INCLUDING ALCOHOL OR DRUGS; DISCRIMINATION ON THE GROUNDS OF SEX, RACE, DISABILITY, ETHNIC ORIGIN, RELIGION, BELIEF, CREED, SEXUAL ORIENTATION OR GENDER RE-ASSIGNMENT; POOR EDUCATIONAL OR SKILLS ATTAINMENT; RELATIONSHIP AND FAMILY BREAKDOWN; POOR HOUSING (THAT IS HOUSING THAT DOES NOT MEET BASIC STANDARDS); CRIME (EITHER AS A VICTIM OF CRIME OR AS AN OFFENDER REHABILITATING INTO SOCIETY).
3. THE PREVENTION OR RELIEF OF POVERTY BY PROVIDING: GRANTS, ITEMS AND SERVICES TO INDIVIDUALS IN NEED AND/OR CHARITIES, OR OTHER ORGANISATIONS WORKING TO PREVENT OR RELIEVE POVERTY.
4. TO DEVELOP THE CAPACITY AND SKILLS OF THE MEMBERS OF SOCIALLY AND ECONOMICALLY DISADVANTAGED COMMUNITIES IN SUCH A WAY THAT THEY ARE BETTER ABLE TO IDENTIFY, AND HELP MEET, THEIR NEEDS AND TO PARTICIPATE MORE FULLY IN SOCIETY."
